Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost
Mi,4.4,20,32.0,Other,3,2,14999
realme,4.3,24,32.0,Other,3,2,14999
Mi,4.4,20,43.0,HD,3,2,28999
SAMSUNG,4.4,20,32.0,Other,2,1,17499
LG,4.3,10,32.0,Other,2,1,16999
SAMSUNG,4.4,20,32.0,Other,2,1,16999
Mi,4.4,20,40.0,Other,3,2,22999
realme,4.3,24,43.0,Other,3,2,23999
Mi,4.4,20,50.0,Other,3,2,34999
iFFALCON,4.3,24,50.0,Other,3,1,28999
Mi,4.4,20,32.0,HD,3,2,15999
LG,4.4,20,43.0,Other,3,2,35999
Mi,4.4,20,43.0,Other,3,3,24999
SAMSUNG,4.5,20,50.0,Other,3,2,47999
Mi,4.4,20,32.0,Other,3,2,15999
OnePlus,4.3,20,32.0,Other,2,2,15999
Mi,4.4,20,43.0,Other,3,2,27999
Vu,4.5,30,50.0,Other,3,2,36999
SAMSUNG,4.4,20,43.0,Ultra HD 4K,2,1,31999
SAMSUNG,4.4,20,65.0,Other,4,2,99999
iFFALCON,4.3,24,55.0,Other,3,1,34999
Nokia,4.3,39,32.0,Other,3,2,14999
iFFALCON,4.3,24,43.0,Other,2,1,24999
SAMSUNG,4.5,40,65.0,Other,4,2,124999
