Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost
Samsung,4.4,20,32.0,Other,2,1,13999
Mi,4.4,20,32.0,Other,3,2,12499
Vu,4.3,24,43.0,HD,2,2,20499
Samsung,4.4,20,32.0,Other,2,1,14999
LG,4.3,10,32.0,Other,2,1,13999
Thomson,4.3,20,40.0,Other,3,2,15499
Thomson,4.2,20,24.0,Other,2,2,5499
Vu,4.3,20,32.0,Other,2,2,12199
LG,4.3,20,43.0,Other,2,1,27999
Kodak,4.0,20,24.0,Other,2,2,5499
Micromax,4.3,24,32.0,HD,2,2,8499
Samsung,4.4,20,43.0,Other,3,2,35999
Nokia,4.4,24,55.0,Other,3,2,41999
Vu,4.4,40,32.0,Other,2,1,13499
Mi,4.4,20,50.0,Other,3,2,29999
Motorola,4.3,20,43.0,Other,3,2,28999
Vu,4.4,20,32.0,Other,1,1,7999
Thomson,4.5,30,43.0,Other,3,2,24999
Samsung,4.3,10,32.0,Full HD,2,1,13999
Thomson,4.5,30,49.0,Other,3,2,26999
Realme,4.3,24,43.0,Other,3,2,21999
Realme,4.3,24,32.0,Other,3,2,12999
Motorola,4.3,20,43.0,Other,2,2,23999
LG,4.3,20,43.0,Full HD,3,2,34999
Samsung,4.4,20,32.0,Other,2,1,13999
Mi,4.4,20,32.0,Other,3,2,12499
Vu,4.3,24,43.0,Other,2,2,20499
Samsung,4.4,20,32.0,Other,2,1,14999
LG,4.3,10,32.0,HD,2,1,13999
Thomson,4.3,20,40.0,Other,3,2,15499
Thomson,4.2,20,24.0,Other,2,2,5499
Vu,4.3,20,32.0,Other,2,2,12199
LG,4.3,20,43.0,Other,2,1,27999
Kodak,4.0,20,24.0,Other,2,2,5499
Micromax,4.3,24,32.0,Other,2,2,8499
Samsung,4.4,20,43.0,Other,3,2,35999
Nokia,4.4,24,55.0,HD,3,2,41999
Vu,4.4,40,32.0,Other,2,1,13499
Mi,4.4,20,50.0,Other,3,2,29999
Motorola,4.3,20,43.0,Other,3,2,28999
Vu,4.4,20,32.0,Other,1,1,7999
Thomson,4.5,30,43.0,Other,3,2,24999
Samsung,4.3,10,32.0,Other,2,1,13999
Thomson,4.5,30,49.0,Other,3,2,26999
Realme,4.3,24,43.0,Other,3,2,21999
Realme,4.3,24,32.0,Full HD,3,2,12999
Motorola,4.3,20,43.0,Other,2,2,23999
LG,4.3,20,43.0,Other,3,2,34999
Samsung,4.4,20,32.0,Other,2,1,13999
Mi,4.4,20,32.0,Other,3,2,12499
Vu,4.3,24,43.0,Other,2,2,20499
Samsung,4.4,20,32.0,Other,2,1,14999
LG,4.3,10,32.0,Other,2,1,13999
Thomson,4.3,20,40.0,HD,3,2,15499
Thomson,4.2,20,24.0,Other,2,2,5499
Vu,4.3,20,32.0,Other,2,2,12199
LG,4.3,20,43.0,Other,2,1,27999
Kodak,4.0,20,24.0,Other,2,2,5499
Micromax,4.3,24,32.0,Other,2,2,8499
Samsung,4.4,20,43.0,Other,3,2,35999
Nokia,4.4,24,55.0,Other,3,2,41999
Vu,4.4,40,32.0,Other,2,1,13499
Mi,4.4,20,50.0,HD,3,2,29999
Motorola,4.3,20,43.0,Other,3,2,28999
Vu,4.4,20,32.0,Other,1,1,7999
Thomson,4.5,30,43.0,Other,3,2,24999
Samsung,4.3,10,32.0,Other,2,1,13999
Thomson,4.5,30,49.0,Other,3,2,26999
Realme,4.3,24,43.0,Other,3,2,21999
Realme,4.3,24,32.0,Other,3,2,12999
Motorola,4.3,20,43.0,Other,2,2,23999
LG,4.3,20,43.0,Full HD,3,2,34999
Samsung,4.4,20,32.0,Other,2,1,13999
Mi,4.4,20,32.0,Other,3,2,12499
Vu,4.3,24,43.0,Other,2,2,20499
Samsung,4.4,20,32.0,Other,2,1,14999
LG,4.3,10,32.0,Other,2,1,13999
Thomson,4.3,20,40.0,Other,3,2,15499
Thomson,4.2,20,24.0,HD,2,2,5499
Vu,4.3,20,32.0,Other,2,2,12199
LG,4.3,20,43.0,Other,2,1,27999
Kodak,4.0,20,24.0,Other,2,2,5499
Micromax,4.3,24,32.0,Other,2,2,8499
Samsung,4.4,20,43.0,Other,3,2,35999
Nokia,4.4,24,55.0,Other,3,2,41999
Vu,4.4,40,32.0,HD,2,1,13499
Mi,4.4,20,50.0,Other,3,2,29999
Motorola,4.3,20,43.0,Other,3,2,28999
Vu,4.4,20,32.0,Other,1,1,7999
Thomson,4.5,30,43.0,Other,3,2,24999
Samsung,4.3,10,32.0,Other,2,1,13999
Thomson,4.5,30,49.0,Other,3,2,26999
Realme,4.3,24,43.0,Other,3,2,21999
Realme,4.3,24,32.0,Other,3,2,12999
Motorola,4.3,20,43.0,Ultra HD 4K,2,2,23999
