Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost
Mi,4.4,20,32,HD,3,2,14999
realme,4.3,24,32,HD,3,2,14999
Mi,4.4,20,43,Ultra HD 4K,3,2,28999
SAMSUNG,4.4,20,32,HD,2,1,17499
LG,4.3,10,32,HD,2,1,16999
SAMSUNG,4.4,20,32,HD,2,1,16999
Mi,4.4,20,40,Full HD,3,2,22999
realme,4.3,24,43,Full HD,3,2,23999
Mi,4.4,20,50,Ultra HD 4K,3,2,34999
iFFALCON,4.3,24,50,Ultra HD 4K,3,1,28999
Mi,4.4,20,32,HD,3,2,15999
Mi,4.4,20,43,Full HD,3,3,24999
LG,4.4,20,43,Ultra HD 4K,3,2,35999
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
Vu,4.5,30,50,Ultra HD 4K,3,2,36999
Mi,4.4,20,32,HD,3,2,15999
Mi,4.4,20,43,Ultra HD 4K,3,2,27999
OnePlus,4.3,20,32,HD,2,2,15999
iFFALCON,4.3,24,55,Ultra HD 4K,3,1,34999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
SAMSUNG,4.4,20,43,Full HD,2,1,31999
iFFALCON,4.3,24,43,Ultra HD 4K,2,1,24999
Nokia,4.3,39,32,HD,3,2,14999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
SAMSUNG,4.4,20,32,HD,2,1,17499
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
Mi,4.4,20,32,HD,3,2,14999
realme,4.3,24,32,HD,3,2,14999
Mi,4.4,20,43,Ultra HD 4K,3,2,28999
LG,4.3,10,32,HD,2,1,16999
SAMSUNG,4.4,20,32,HD,2,1,16999
Mi,4.4,20,40,Full HD,3,2,22999
realme,4.3,24,43,Full HD,3,2,23999
Mi,4.4,20,50,Ultra HD 4K,3,2,34999
iFFALCON,4.3,24,50,Ultra HD 4K,3,1,28999
Mi,4.4,20,32,HD,3,2,15999
Mi,4.4,20,43,Full HD,3,3,24999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
LG,4.4,20,43,Ultra HD 4K,3,2,35999
Vu,4.5,30,50,Ultra HD 4K,3,2,36999
Mi,4.4,20,32,HD,3,2,15999
Mi,4.4,20,43,Ultra HD 4K,3,2,27999
OnePlus,4.3,20,32,HD,2,2,15999
SAMSUNG,4.5,40,55,Ultra HD 4K,4,2,76999
iFFALCON,4.3,24,55,Ultra HD 4K,3,1,34999
SAMSUNG,4.4,20,43,Full HD,2,1,31999
iFFALCON,4.3,24,43,Ultra HD 4K,2,1,24999
SAMSUNG,4.5,20,50,Ultra HD 4K,4,2,67999
OnePlus,4.3,20,43,Full HD,2,2,26999
iFFALCON,4.4,30,43,Ultra HD 4K,2,1,26999
Mi,4.4,20,55,Ultra HD 4K,3,2,40999
SONY,4.5,20,43,Ultra HD 4K,3,3,39999
Mi,4.4,30,55,Ultra HD 4K,3,2,56999
SAMSUNG,4.4,20,32,HD,2,1,17499
Nokia,4.3,39,43,Full HD,2,2,24999
Vu,4.5,30,55,Ultra HD 4K,3,2,41999
SAMSUNG,4.3,20,32,HD,2,1,17499
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
LG,4.4,20,43,Full HD,2,1,31999
Panasonic,4.2,20,50,Ultra HD 4K,3,2,34999
infinix,4.2,24,43,Full HD,3,2,19999
MOTOROLA,4.4,50,55,Ultra HD 4K,3,2,40999
